Device Details,Price,Ratings
"Apple IPhone 4 (White, 8 GB)",13999,"1,085"
"Apple iPhone 5s (Gold, 16 GB)",14999,"62,370"
"Apple iPhone 5C (Blue, 8 GB)",14999,"1,312"
"Apple iPhone 5C (White, 8 GB)",14999,"1,312"
"Apple iPhone 6 (Space Grey, 16 GB)",19990,"1,44,853"
"Apple iPhone 6s (Silver, 16 GB)",22490,"92,433"
"Apple IPhone 4 (Black, 8 GB)",22900,"1,085"
"Apple iPhone 6 (Space Grey, 64 GB)",24490,"1,44,853"
"Apple iPhone 6 (Silver, 64 GB)",24490,"1,44,853"
"Apple iPhone 6 (Silver, 64 GB)",24490,"1,44,853"
"Apple iPhone 6 (Silver, 64 GB)",24490,"1,44,853"
"Apple iPhone 6 (Silver, 64 GB)",24490,"1,44,853"
"Apple iPhone 6 (Silver, 64 GB)",24490,"1,44,853"
"Apple iPhone 6 (Silver, 64 GB)",24490,"1,44,853"
"Apple iPhone 5s (Space Grey, 16 GB)",25000,"62,370"
"Apple iPhone 5s (Silver, 16 GB)",25000,"62,370"
"Apple iPhone 6s (Space Grey, 32 GB)",25299,"92,433"
"Apple iPhone 6s (Gold, 32 GB)",25299,"92,433"
"Apple iPhone 6s (Silver, 32 GB)",25299,"92,433"
"Apple iPhone 6s (Rose Gold, 32 GB)",25299,"92,433"
"Apple iPhone 6 (Gold, 64 GB)",25999,"1,44,853"
"Apple iPhone 7 (Silver, 32 GB)",29799,"92,963"
"Apple iPhone 7 (Black, 32 GB)",29799,"92,963"
"Apple iPhone 7 (Rose Gold, 32 GB)",29799,"92,963"
"Apple iPhone 7 (Gold, 32 GB)",29799,"92,963"
"Apple iPhone 7 (Jet Black, 32 GB)",29799,"92,963"
"Apple iPhone 6s (Space Grey, 64 GB)",29990,"92,433"
"Apple iPhone 6s (Space Grey, 64 GB)",29990,"92,433"
"Apple iPhone 6s (Space Grey, 64 GB)",29990,"92,433"
"Apple iPhone 6s (Space Grey, 64 GB)",29990,"92,433"
"Apple iPhone 6s (Space Grey, 64 GB)",29990,"92,433"
"Apple iPhone 6s (Space Grey, 64 GB)",29990,"92,433"
"Apple iPhone 6 (Gold, 32 GB)",30780,"1,44,853"
"Apple iPhone 6 (Space Grey, 32 GB)",30780,"1,44,853"
"Apple iPhone 6s (Space Grey, 16 GB)",31999,"92,433"
"Apple iPhone 6s (Rose Gold, 16 GB)",31999,"92,433"
"Apple iPhone 6s (Gold, 128 GB)",32999,"92,433"
"Apple iPhone 6s Plus (Gold, 32 GB)",34900,"18,717"
"Apple iPhone 7 (Silver, 128 GB)",34900,"92,963"
"Apple iPhone 7 (Red, 128 GB)",34900,"92,963"
"Apple iPhone 7 (Jet Black, 128 GB)",34900,"92,963"
"Apple iPhone 7 (Gold, 128 GB)",34900,"92,963"
"Apple iPhone 6s Plus (Space Grey, 32 GB)",34900,"18,717"
"Apple iPhone 6s Plus (Rose Gold, 32 GB)",34900,"18,717"
"Apple iPhone 6s Plus (Silver, 32 GB)",34900,"18,717"
"Apple iPhone 7 (Rose Gold, 128 GB)",34900,"92,963"
"Apple iPhone 7 (Black, 128 GB)",34900,"92,963"
"Apple iPhone 7 (Black, 128 GB)",34900,"92,963"
"Apple iPhone 7 (Black, 128 GB)",34900,"92,963"
"Apple iPhone 7 (Black, 128 GB)",34900,"92,963"
"Apple iPhone 7 (Black, 128 GB)",34900,"92,963"
"Apple iPhone 7 (Black, 128 GB)",34900,"92,963"
"Apple iPhone 6 (Gold, 16 GB)",36499,"1,44,853"
"Apple iPhone 6 (Silver, 16 GB)",36990,"1,44,853"
"Apple iPhone 7 Plus (Black, 32 GB)",36999,"28,751"
"Apple iPhone 7 Plus (Gold, 32 GB)",36999,"28,751"
"Apple iPhone 7 Plus (Silver, 32 GB)",36999,"28,751"
"Apple iPhone 7 Plus (Jet Black, 32 GB)",36999,"28,751"
"Apple iPhone 7 Plus (Rose Gold, 32 GB)",36999,"28,751"
"Apple iPhone 5C (Yellow, 8 GB)",37500,"1,312"
"Apple iPhone 5C (Pink, 8 GB)",37500,"1,312"
"Apple iPhone SE (Black, 64 GB)",37900,"26,611"
"Apple iPhone SE (White, 64 GB)",37900,"26,611"
"Apple iPhone SE (Red, 64 GB)",37900,"26,611"
"Apple iPhone 8 (Gold, 64 GB)",38999,"10,964"
"Apple iPhone 8 (Silver, 64 GB)",38999,"10,964"
"Apple iPhone 8 (Space Grey, 64 GB)",38999,"10,964"
"Apple iPhone 8 (PRODUCT)RED (Red, 64 GB)",38999,112
"Apple iPhone 6s (Silver, 128 GB)",39999,"92,433"
"Apple iPhone 6 Plus (Space Grey, 16 GB)",39999,"1,659"
